"BaseIdentifier","Action","FolderName","KeptFolder","Status","Error"
"zx_Jack_the_Ripper","DELETE","zx_Jack_the_Ripper_1987_CRL_Group_Part_1_of_3_a","zx_Jack_the_Ripper_1987_CRL_Group_Part_1_of_3","Deleted",""
"zx_Jack_the_Ripper","DELETE","zx_Jack_the_Ripper_1987_CRL_Group_Part_2_of_3","zx_Jack_the_Ripper_1987_CRL_Group_Part_1_of_3","Deleted",""
"zx_Jack_the_Ripper","DELETE","zx_Jack_the_Ripper_1987_CRL_Group_Part_2_of_3_a","zx_Jack_the_Ripper_1987_CRL_Group_Part_1_of_3","Deleted",""
"zx_Jack_the_Ripper","DELETE","zx_Jack_the_Ripper_1987_CRL_Group_Part_3_of_3","zx_Jack_the_Ripper_1987_CRL_Group_Part_1_of_3","Deleted",""
"zx_Jack_the_Ripper","DELETE","zx_Jack_the_Ripper_1987_CRL_Group_Part_3_of_3_a","zx_Jack_the_Ripper_1987_CRL_Group_Part_1_of_3","Deleted",""
"zx_Jack_the_Ripper","DELETE","zx_Jack_the_Ripper_1987_Fran_Morell_es_Part_1_of_3_re_release","zx_Jack_the_Ripper_1987_CRL_Group_Part_1_of_3","Deleted",""
"zx_Jack_the_Ripper","DELETE","zx_Jack_the_Ripper_1987_Fran_Morell_es_Part_2_of_3_re_release","zx_Jack_the_Ripper_1987_CRL_Group_Part_1_of_3","Deleted",""
"zx_Jack_the_Ripper","DELETE","zx_Jack_the_Ripper_1987_Fran_Morell_es_Part_3_of_3_re_release","zx_Jack_the_Ripper_1987_CRL_Group_Part_1_of_3","Deleted",""
"zx_10th_Frame_1986","DELETE","zx_10th_Frame_1986_U.S._Gold_a","zx_10th_Frame_1986_U.S._Gold","Deleted",""
"zx_10th_Frame_1986","DELETE","zx_10th_Frame_1986_U.S._Gold_a2","zx_10th_Frame_1986_U.S._Gold","Deleted",""
"zx_10th_Frame_1986","DELETE","zx_10th_Frame_1986_U.S._Gold_a3","zx_10th_Frame_1986_U.S._Gold","Deleted",""
"zx_10th_Frame_1986","DELETE","zx_10th_Frame_1986_U.S._Gold_a4","zx_10th_Frame_1986_U.S._Gold","Deleted",""
"zx_10th_Frame_1986","DELETE","zx_10th_Frame_1986_U.S._Gold_a5","zx_10th_Frame_1986_U.S._Gold","Deleted",""
"a8b_Mordons_Quest_1985","DELETE","a8b_Mordons_Quest_1985_Melbourne_House_GB_no_loading_screen","a8b_Mordons_Quest_1985_Melbourne_House_GB","Deleted",""
"zx_Fairlight_A_Prelude","DELETE","zx_Fairlight_A_Prelude_1985_The_Edge_Software_128K","zx_Fairlight_A_Prelude_1985_The_Edge_Software","Deleted",""
"zx_Fairlight_A_Prelude","DELETE","zx_Fairlight_A_Prelude_1985_The_Edge_Software_a","zx_Fairlight_A_Prelude_1985_The_Edge_Software","Deleted",""
"zx_Fairlight_A_Prelude","DELETE","zx_Fairlight_A_Prelude_1985_The_Edge_Software_a2","zx_Fairlight_A_Prelude_1985_The_Edge_Software","Deleted",""
"zx_Fairlight_A_Prelude","DELETE","zx_Fairlight_A_Prelude_1985_The_Edge_Software_h","zx_Fairlight_A_Prelude_1985_The_Edge_Software","Deleted",""
"zx_Rockford_1988_Mastertronic","DELETE","zx_Rockford_1988_Mastertronic_Added_Dimension_a","zx_Rockford_1988_Mastertronic_Added_Dimension","Deleted",""
"uta_Simpsons_The-_Bart","DELETE","uta_Simpsons_The-_Bart_Vs._The_Space_Mutants_1993_Hit_Squad_1632","uta_Simpsons_The-_Bart_Vs._The_Space_Mutants_1991_Ocean_Software_Ltd_11763","Deleted",""
"zx_Splitting_Images_1986","DELETE","zx_Splitting_Images_1986_Domark_a","zx_Splitting_Images_1986_Domark","Deleted",""
"zx_Jet_Set_Willy","DELETE","zx_Jet_Set_Willy_1984_Software_Projects_a","zx_Jet_Set_Willy_1984_Software_Projects","Deleted",""
"zx_Jet_Set_Willy","DELETE","zx_Jet_Set_Willy_1984_Software_Projects_cr","zx_Jet_Set_Willy_1984_Software_Projects","Deleted",""
"zx_Jet_Set_Willy","DELETE","zx_Jet_Set_Willy_1984_Software_Projects_cr_a","zx_Jet_Set_Willy_1984_Software_Projects","Deleted",""
"zx_Jet_Set_Willy","DELETE","zx_Jet_Set_Willy_1984_Software_Projects_cr_a2","zx_Jet_Set_Willy_1984_Software_Projects","Deleted",""
